ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref;Kommentar
35;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry ash free basis;48.73;7.09;0.44;0.15;43.59;;100.0;48.7;7.1;0.4;0.2;43.6;;;;;;;;18;
36;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;77.35;20.37;2.28;100.0;0.0;2.3;20.4;77.4;;dry ash free basis;43.36;6.46;0.37;0.3;49.51;;100.0;43.4;6.5;0.4;0.3;49.5;;;;;;;;18;
37;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry ash free basis;46.32;6.21;0.32;0.21;46.95;;100.0;46.3;6.2;0.3;0.2;47.0;;;;;;;;18;
38;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry ash free basis;48.4;6.3;0.2;0.1;44.9;0.1;100.0;48.4;6.3;0.2;0.1;44.9;0.10;;;;;;;18;
39;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry ash free basis;44.5;5.97;0.16;0.15;49.22;;100.0;44.5;6.0;0.2;0.2;49.2;;;;;;;;18;
40;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;85.19;10.54;4.27;100.0;0.0;85.19;10.54;4.27;;;;;;;;;;;;;;;;;;;;;;18;
41;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;71.85;16.2;11.95;100.0;0.0;71.85;16.2;11.95;;;;;;;;;;;;;;;;;14.874;;16.89267462;14.874;;18;
42;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;84.36;2.94;12.7;100.0;0.0;84.36;2.94;12.7;;;;;;;;;;;;;;;;;;;;;;18;
43;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;air dry basis;3;76;9;12;100.0;3.0;76.0;9.0;12.0;;air dry basis;35.6;4.6;0.6;0;43.3;0.9;85.0;41.9;5.4;0.7;0.0;50.9;1.06;;;;;;;19;
44;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;4;76;12.8;11.2;104.0;4.0;73.0;12.3;10.8;;dry basis;36;5;0.1;0;48.1;;89.2;40.4;5.6;0.1;0.0;53.9;;;;;;;;20;
45;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;air dry basis;6.51;76.31;11.15;6.03;100.0;6.5;76.3;11.2;6.0;;dry ash free basis;39.71;7.14;0;0;53.15;;100.0;39.7;7.1;0.0;0.0;53.2;;;; 17.10   ; 19.55   ; 18.29   ; 17.10   ;21;
46;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;8.21;;;6.72;14.9;;;;;;dry basis;41.44;8.19;0.11;0.34;43.2;;93.3;44.4;8.8;0.1;0.4;46.3;;;;16.23;;;16.23;22;
47;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;air dry basis;5.95;78.55;7.57;7.93;100.0;6.0;78.6;7.6;7.9;;dry ash free basis;41.43;6.87;1.01;0.86;49.83;;100.0;41.4;6.9;1.0;0.9;49.8;;;;;;;;23;
48;Paper ;1;Paper waste;Paper waste;Mixed paper;;;;;;;;;;;;;;;dry ash free basis;43.4;5.8;0.3;0.2;50.3;;100.0;43.4;5.8;0.3;0.2;50.3;;16.2;;;16.2;;;29;
49;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;;;5.78;5.8;;;;;;dry basis;42.94;6.85;0.14;0.07;44.22;;94.2;45.6;7.3;0.1;0.1;46.9;;;;;;;;24;
50;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;;;4.99;5.0;;;;;;dry basis;43.28;6.83;0.16;0.09;44.95;;95.3;45.4;7.2;0.2;0.1;47.2;;;;16.2;;;16.2;25;
51;Paper ;1;Paper waste;Paper waste;Paper mixture;;;;;;;;;;;;;;;dry ash free basis;43;6;0.4;0.2;50.5;;100.1;43.0;6.0;0.4;0.2;50.4;;17.7;;;17.7;;;29;
52;Paper ;1;Paper waste;Paper waste;Paper waste I;;;;;;;;;;;;;;;dry ash free basis;42.1;5.9;0.4;0.3;51.4;;100.1;42.1;5.9;0.4;0.3;51.3;;12.8;;;12.8;;;29;
53;Paper ;1;Paper waste;Paper waste;Paper waste II;;;;;;;;;;;;;;;dry ash free basis;42.7;6.1;0.5;0.1;50.6;;100.0;42.7;6.1;0.5;0.1;50.6;;17.6;;;17.6;;;29;
54;Paper ;1;Paper waste;Paper waste;Paper waste III;;;;;;;;;;;;;;;dry ash free basis;39.7;7.1;0;0;53.2;;100.0;39.7;7.1;0;0;53.2;;17.1;;;17.1;;;29;
55;Paper ;1;Paper waste;Paper waste;Paper waste IV;;;;;;;;;;;;;;;dry ash free basis;45.6;6;0.3;0.2;47.8;;99.9;45.6;6.0;0.3;0.2;47.8;;15.9;;;15.9;;;29;
56;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;;;;;;;;;;;;dry basis;40.35;5.55;0.68;0.65;40.8;;88.0;45.8;6.3;0.8;0.7;46.3;;;;;;;;26;
57;Paper ;2;Copy paper;Copy paper;copy sheet papers, Low-density copy ;0.625;0.0808;1.65;N/A;;;;13.65;13.65;;;;;;;;;;;;;;;;;;;;;;;;;;5;
58;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.686;0.0808;;N/A;;;;7.18;7.18;;;;;;;;;;;;;;;;;;;;;;;;;;5;
59;Paper ;2;Copy paper;Copy paper;copy sheet papers;0.735;0.074;;N/A;;;;11.66;11.66;;;;;;;;;;;;;;;;;;;;;;;;;;5;
