ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
86;Plastic;4;Polyethylene;PE;;;;;dry basis;0;99.7;0.1;0.2;100;0;99.7;0.1;0.2;dry basis;84.3;15.4;0;0;0.1;;99.8;84.46893788;15.43086172;0;0;0.100200401;;;;;;;;12
87;Plastic;4;Polyethylene;PE;;;;;N/A;1;95.5;2.4;1;99.9;1.001001001;95.5955956;2.402402402;1.001001001;N/A;77.61;11.91;0.1;0;10.38;;100;77.61;11.91;0.1;0;10.38;;;;;;;;107
88;Plastic;4;Polyethylene;PE;;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136
89;Plastic;4;Polyethylene;PE;;;;;dry basis;0;99.7;0.1;0.2;100;0;99.7;0.1;0.2;dry basis;85.40;14.40;0.03;0.00;0.17;0;100;85.4;14.4;0.03;0;0.17;0;;;;;;;94
90;Plastic;4;Polyethylene;PE ;Cp at 300 K ;;;1.555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130
91;Plastic;4;Polyethylene;PE;;;;;dry basis;0;99.98;0.02;0;100;0;99.98;0.02;0;N/A;85.47;14.21;0.08;0.24;0.13;;100.13;85.35903326;14.19155098;0.079896135;0.239688405;0.129831219;;;;;;;;14
92;Plastic;4;Polyethylene;PE;;;;;w/d basis;0;99.4;0;0.6;100;0;99.4;0;0.6;dry ash free basis;85.5;14.2;0;0.3;0;0;100;85.5;14.2;0;0.3;0;0;;;;;;;18
93;Plastic;4;Polyethylene;PE;;;;;w/d basis;0;99.42;0;0.58;100;0;99.42;0;0.58;dry ash free basis;85.44;14.24;0;0;0.32;0;100;85.44;14.24;0;0;0.32;0;;;;;;;18
94;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;85.85;14.15;0;0;0;0;100;85.85;14.15;0;0;0;0;;;;;;;18
95;Plastic;4;Polyethylene;PE;;;;;w/d basis;0;99.7;0;0.3;100;0;99.7;0;0.3;dry ash free basis;85.5;14.3;0;0.2;0;0;100;85.5;14.3;0;0.2;0;0;;;;;;;18
96;Plastic;4;Polyethylene;PE;;;;;w/d basis;0;99.69;0;0.31;100;0;99.69;0;0.31;dry ash free basis;85.51;14.3;0;0;0.19;0;100;85.51;14.3;0;0;0.19;0;;;;;;;18
97;Plastic;4;Polyethylene;PE;;;;;;;;;;;;;;;dry ash free basis;85.3;14.3;0;0.1;0.3;;100;85.3;14.3;0;0.1;0.3;;;;;;;;18
98;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.17;99.98;0.02;0;100.17;0.17;99.81;0.019966;0;dry ash free basis;85.98;11.2;0.21;0.17;2.44;0;100;85.98;11.2;0.21;0.17;2.44;0;;46.48;;46.48;46.48;46.400984;18
99;Plastic;4;Polyethylene;PE;;;;;w/d basis;0;100;0;0;100;0;100;0;0;dry ash free basis;86.03;13.12;0;0;0.87;0;100.02;86.01279744;13.11737652;0;0;0.869826035;0;;35.725;;35.725;35.725;35.725;18
100;Plastic;4;Polyethylene;PE;;;;;w/d basis;0.17;99.94;0;0.06;100.17;0.17;99.77;0;0.059898;dry ash free basis;86.66;13.26;0.06;0.02;0;0;100;86.66;13.26;0.06;0.02;0;0;;37.6;;37.62257354;37.6;37.53608;18
