ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
257;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.23;95.46;4.54;0;100.23;0.23;95.24;4.53;0.00;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
258;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;87.08;10.82;2.1;100.2;0.2;86.91;10.80;2.10;dry ash free basis;46.12;5.71;0.1;0.1;1.63;46.33;99.99;46.12461246;5.710571057;0.100010001;0.100010001;1.630163016;46.33463346;;22.735;;23.2226762;22.735;22.68953;18
259;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;95.16;4.8;0.04;100.2;0.2;94.97;4.79;0.04;dry ash free basis;38.75;5.21;0.22;0;0;55.82;100;38.75;5.21;0.22;0;0;55.82;;22.566;;22.57503001;22.566;22.520868;18
260;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.16;94.93;5.07;0;100.16;0.16;94.78;5.06;0.00;dry ash free basis;38.34;4.47;0.23;0.61;0;56.35;100;38.34;4.47;0.23;0.61;0;56.35;;20.83;;20.83;20.83;20.796672;18
261;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.12;93.96;5.96;0.08;100.12;0.12;93.85;5.95;0.08;dry ash free basis;40.38;5.83;0.07;1.25;0;52.46;99.99;40.3840384;5.830583058;0.070007001;1.250125013;0;52.46524652;;22.405;;22.42293835;22.405;22.378114;18
262;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.11;;;;0.11;;;;;dry ash free basis;40.78;5.73;0.02;0.09;0;53.38;100;40.78;5.73;0.02;0.09;0;53.38;;20.079;;;20.079;;18
263;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0.2;94.5;5.4;0.1;100.2;0.2;94.31;5.39;0.10;dry ash free basis;38.83;4.57;0.01;0;0;56.6;100.01;38.82611739;4.569543046;0.009999;0;0;56.59434057;;21.682;;21.7037037;21.682;21.638636;18
264;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0;71.39;14.49;14.12;100;0;71.39;14.49;14.12;dry ash free basis;40.91;4.8;0.06;0.01;0;54.23;100.01;40.90590941;4.799520048;0.059994001;0.009999;0;54.22457754;;;;;;;18
265;Plastic;8;Polyvinylchloride;PVC;;;;;w/d basis;0;83.73;12.77;3.5;100;0;83.73;12.77;3.5;dry ash free basis;;;;;;;;;;;;;;;;;;;;18
266;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;40.8;5.2;0;0;5.3;48.7;100;40.8;5.2;0;0;5.3;48.7;;;;;;;18
267;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;38.4;4.8;0;0;0;56.8;100;38.4;4.8;0;0;0;56.8;;;;;;;18
268;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;38.15;5.18;0;0.21;2.3;54.16;100;38.15;5.18;0;0.21;2.3;54.16;;;;;;;18
269;Plastic;8;Polyvinylchloride;PVC;;;;;;;;;;;;;;;dry ash free basis;36.83;4.71;0.05;0.25;0;58.15;99.99;36.83368337;4.710471047;0.050005001;0.250025003;0;58.15581558;;;;;;;18
270;Plastic;8;Polyvinylchloride;PVC;;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135
271;Plastic;8;Polyvinylchloride;PVC;;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137
