ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
117;Organic ;3;Wood;Sawdust;;;;;;;;;;;;;;;;dry ash free basis;51.63;4.62;0.83;0.17;42.66;0.09;100;51.63;4.62;0.83;0.17;42.66;0.09;;;;;;;31
118;Organic ;3;Wood;Spurce chips;;;;;dry basis;;85;14.64;0.36;100;0;85;14.64;0.36;;dry ash free basis;47.4;6.1;0.1;0.1;46.4;;100.1;47.35264735;6.093906094;0.0999001;0.0999001;46.35364635;;;;;;;;31
119;Organic ;3;Wood;Tree branches;;;;;dry basis;;84.1;15.09;0.81;100;0;84.1;15.09;0.81;;dry ash free basis;51.41;6.25;0.1;0.1;42.14;;100;51.41;6.25;0.1;0.1;42.14;;;;;;;;31
120;Organic ;3;Wood;Wood;;;;;dry basis;;79.45;16.85;3.7;100;0;79.45;16.85;3.7;;dry ash free basis;50.61;7.45;0.08;0;41.86;;100;50.61;7.45;0.08;0;41.86;;;18.126;;18.82242991;18.126;18.126;31
121;Organic ;3;Wood;Wood;;;;;dry basis;;81.64;17.54;0.82;100;0;81.64;17.54;0.82;;dry ash free basis;48.35;6.62;0.04;0.29;44.7;;100;48.35;6.62;0.04;0.29;44.7;;;20.697;;20.86811857;20.697;20.697;31
122;Organic ;3;Wood;Wood;;;;;;;;;;;;;;;;dry ash free basis;54.64;6.54;0.96;0.69;37.08;0.08;99.99;54.64546455;6.540654065;0.96009601;0.690069007;37.08370837;0.080008001;;;;;;;31
123;Organic ;3;Wood;Wood;;;;;;;;;;;;;;;;dry ash free basis;50.53;5.8;0.41;0.05;42.32;0.89;100;50.53;5.8;0.41;0.05;42.32;0.89;;;;;;;31
124;Organic ;3;Wood;Wood;;;;;dry basis;;80.5;15.3;4.2;100;0;80.5;15.3;4.2;;dry ash free basis;46.49;6.56;1;0.29;45.67;;100.01;46.48535146;6.559344066;0.99990001;0.289971003;45.66543346;;;;;;;;31
125;Organic ;3;Wood;Wood chips;;;;;dry basis;;82.66;15.4;1.95;100.01;0;82.65173483;15.39846015;1.949805019;;dry ash free basis;49.54;6.21;0.12;0.04;44.06;0.03;100;49.54;6.21;0.12;0.04;44.06;0.03;;19.163;;19.54407128;19.163;19.163;31
126;Organic ;3;Wood;Wood chips;;;;;dry basis;;87.07;11.45;1.49;100.01;0;87.06129387;11.44885511;1.489851015;;dry ash free basis;51.73;4.54;0.16;0.08;43.5;;100.01;51.72482752;4.539546045;0.159984002;0.079992001;43.49565043;;;20.186;;20.49128969;20.186;20.186;31
