ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
34;Inert;1;Bottom Ash ;Waste Bottom Ash ;s. Dichte;2.052;;;from a waste-to-energy facility located in Tarragona 8-16 mm;55.36;13.25;8.45;5.06;8.83;1.87;1.18;0.412;0.17;;0.239;;;0.138;;;;;;;0.5964;0.1427;0.0910;0.0545;0.0951;0.0201;;0.977474489;158
35;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.74;;;from a waste-to-energy plant (Attero) in the Netherlands;35.98;19.34;11.54;9;1.35;1.81;1.15;1.02;1.11;0.16;0.43;0.8;;4.95;0.66;;;;;;0.4553;0.2447;0.1460;0.1139;0.0171;0.0229;;0.884882419;159
36;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from a waste-to-energy plant north from Italy;33.7;35;5.37;13.31;2.27;4.62;1.66;;1.52;0.14;0.11;0.27;;;;;;;;;0.3575;0.3713;0.0570;0.1412;0.0241;0.0490;;0.962233337;160
37;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from South-East London Combined Heat and Power (SELCHP) EfW plan;41.1;19.2;12.06;6.4;2.68;1.85;0.89;1.39;1.07;0.08;;;;;;;;;;;0.4935;0.2305;0.1448;0.0768;0.0322;0.0222;;0.960447417;161
38;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from a major supplier of secondary IBA aggregate in SE England (Day Group, Brentford facility);30.37;26.8;13.05;11.5;3.32;2.64;1.33;2.18;1.39;0.31;;;;3.05;;;;;;;0.3464;0.3057;0.1488;0.1312;0.0379;0.0301;;0.913904524;162
39;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.5;;;from an incinerator in Phuket province, Thailan;48.26;19.07;4.44;4.04;2.41;1.16;1.17;;;;;;;1.06;;;;;;;0.6080;0.2402;0.0559;0.0509;0.0304;0.0146;;0.972674917;167
40;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.35;;;from rotary kiln incinerator;37.86;25.23;1.15;5.58;;0.23;;;;;;;;;;;;;;;0.5405;0.3602;0.0164;0.0797;0.0000;0.0033;;1;168
41;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.51;;;from rotary kiln incinerator;15.8;39.06;1.6;7.6;;0.15;;;;;;;;;;;;;;;0.2461;0.6083;0.0249;0.1184;0.0000;0.0023;;1;168
49;Inert;2;Ash;Coal Fly Ash;;2.69;;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208
50;Inert;2;Ash;Coal Fly Ash;;2.1;;0.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208
51;Inert;2;Ash;Coal Fly Ash;;2.45;;;;47.6;10.7;7.42;23.8;2.16;1.5;1.68;1.16;;;;;;0.76;;;;;;;0.5108;0.1148;0.0796;0.2554;0.0232;0.0161;;0.962802232;217
52;Inert;2;Ash;Coal Fly Ash;;1.74;;;;54.6;1.4;5.3;28.8;0.37;1.89;3.72;0.17;1.03;;;;;0;;;;;;;0.5912;0.0152;0.0574;0.3118;0.0040;0.0205;;0.949424342;217
53;Inert;2;Ash;Coal Fly Ash;;;;;;54.28;5;8.8;23.58;;1.31;2;;1.48;;;;;0.53;;;;;;;0.5838;0.0538;0.0947;0.2536;0.0000;0.0141;;0.958651268;217
54;Inert;2;Ash;Coal Bottom Ash;;2.41;;;;52.5;4.72;8.3;17.65;;0.58;;;2.17;;;;;0.84;;;;;;;0.6269;0.0564;0.0991;0.2107;0.0000;0.0069;;0.965306593;217
55;Inert;2;Ash;Coal Bottom Ash;;1.88;;;;45.3;8.7;19.84;18.1;;0.97;2.48;0.35;;;;;;0.35;;;;;;;0.4876;0.0936;0.2135;0.1948;0.0000;0.0104;;0.966906026;217
56;Inert;2;Ash;Coal Bottom Ash;;2.65;;;;52.4;2.4;6.6;27.5;0.36;1.83;3.48;0.12;0.97;;;;;0;;;;;;;0.5753;0.0263;0.0725;0.3019;0.0040;0.0201;;0.952226636;217
57;Inert;2;Ash;Coal Bottom Ash;;1.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202
58;Inert;2;Ash;Coal Bottom Ash;;2.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
59;Inert;2;Ash;Coal Bottom Ash;;2.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
60;Inert;2;Ash;Coal Bottom Ash;;1.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
61;Inert;2;Ash;Coal Bottom Ash;;1.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
62;Inert;2;Ash;Coal Bottom Ash;;1.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
63;Inert;2;Ash;Coal Bottom Ash;;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
64;Inert;2;Ash;Coal Bottom Ash;;2.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199
65;Inert;2;Ash;Coal Bottom Ash;;;;;;62.33;1;4.16;25.52;0.08;0.94;3.25;0.12;0.84;;;;;0;;;;;;;0.6629;0.0106;0.0442;0.2714;0.0009;0.0100;;0.957145765;199
66;Inert;2;Ash;Coal Bottom Ash;;;;;;65.02;1.76;6.86;19.18;0.85;2;0;0.04;0.93;;;;;0;;;;;;;0.6796;0.0184;0.0717;0.2005;0.0089;0.0209;;0.989962748;199
67;Inert;2;Ash;Coal Bottom Ash;;2.41;;;;52.5;4.72;8.3;17.65;0;0.58;0;0;2.17;;;;;0.84;;;;;;;0.6269;0.0564;0.0991;0.2107;0.0000;0.0069;;0.965306593;199
68;Inert;2;Ash;Coal Bottom Ash;;1.8;;;;50.49;4.19;10.93;27.56;0.57;1.24;0.82;0.24;2.23;;;;;0.1;;;;;;;0.5316;0.0441;0.1151;0.2902;0.0060;0.0131;;0.965538274;199
69;Inert;2;Ash;Coal Bottom Ash;;;;;;47.1;7.8;5.7;23.1;0.7;1.5;5.3;0;1.2;;;;;1.5;;;;;;;0.5483;0.0908;0.0664;0.2689;0.0081;0.0175;;0.914802982;199
70;Inert;2;Ash;Coal Bottom Ash;;;;;;59.82;1.86;3.77;27.76;1.61;0.7;0.33;0;0;;;;;1.39;;;;;;;0.6263;0.0195;0.0395;0.2906;0.0169;0.0073;;0.982311806;199
71;Inert;2;Ash;Coal Bottom Ash;;;;;;52.2;5.9;6;27.5;0;1.7;0.6;0.74;1.53;;;;;0.13;;;;;;;0.5595;0.0632;0.0643;0.2947;0.0000;0.0182;;0.968847352;199
